source,target,regex,code,type,hits,title,status
"/How big is the class?","https://www.esc.org/faqs/how-big-is-the-class/",0,301,"url",0,"","active"
"/How can I get a replacement card?","https://www.esc.org/faqs/how-can-i-get-a-replacement-card/",0,301,"url",0,"","active"
"/How can I register?","https://www.esc.org/faqs/how-can-i-register-2/",0,301,"url",0,"","active"
"/How can I register?","https://www.esc.org/faqs/how-can-i-register/",0,301,"url",0,"","active"
"/How did WITPAC come to be?","https://www.esc.org/faqs/how-did-witpac-come-to-be/",0,301,"url",0,"","active"
"/How do I maintain my certification?","https://www.esc.org/faqs/how-do-i-maintain-my-certification/",0,301,"url",0,"","active"
"/How do I register for an instructor class?","https://www.esc.org/faqs/how-do-i-register-for-an-instructor-class/",0,301,"url",0,"","active"
"/How do I upload required documents?","https://www.esc.org/faqs/how-do-i-upload-required-documents/",0,301,"url",0,"","active"
"/How long do I have to complete the EverSafe Driving Program® online course?","https://www.esc.org/faqs/how-long-do-i-have-to-complete-the-eversafe-driving-program-online-course/",0,301,"url",0,"","active"
"/How long do I have to complete the Forklift Operator Certification Course?","https://www.esc.org/faqs/how-long-does-it-take-to-get-forklift-certified-2/",0,301,"url",0,"","active"
"/How long does it take to get forklift certified?","https://www.esc.org/faqs/how-long-does-it-take-to-get-forklift-certified/",0,301,"url",0,"","active"
"/How long does the class last?","https://www.esc.org/faqs/how-long-does-the-class-last/",0,301,"url",0,"","active"
"/How long is the certification valid for?","https://www.esc.org/faqs/how-long-is-the-certification-valid-for-2/",0,301,"url",0,"","active"
"/How long is the forklift instructor certification valid?","https://www.esc.org/faqs/how-long-is-the-certification-valid/",0,301,"url",0,"","active"
"/How long is the course?","https://www.esc.org/faqs/how-long-is-the-course/",0,301,"url",0,"","active"
"/How long is the instructor certification valid?","https://www.esc.org/faqs/how-long-is-the-instructor-certification-valid/",0,301,"url",0,"","active"
"/How long is your online course?","https://www.esc.org/faqs/how-long-is-your-online-course/",0,301,"url",0,"","active"
"/How long will the online WITPAC course take?","https://www.esc.org/faqs/how-long-will-the-online-witpac-course-take/",0,301,"url",0,"","active"
"/How to I order a replacement card?","https://www.esc.org/faqs/how-to-i-order-a-replacement-card/",0,301,"url",0,"","active"
"/How will I access the webinar and the exam?","https://www.esc.org/faqs/how-will-i-access-the-webinar-and-the-exam/",0,301,"url",0,"","active"
"/How will I get my course materials?","https://www.esc.org/faqs/how-will-i-get-my-course-materials/",0,301,"url",0,"","active"
"/I have commercial driving experience. Do I still need to be certified?","https://www.esc.org/faqs/i-have-commercial-driving-experience-do-i-still-need-to-be-certified/",0,301,"url",0,"","active"
"/I operate in another state. Should I get certified in Washington or Colorado?","https://www.esc.org/faqs/i-operate-in-another-state-should-i-get-certified-in-washington-or-colorado/",0,301,"url",0,"","active"
"/I’m certified in another state. Can I transfer that?","https://www.esc.org/faqs/im-certified-in-another-state-can-i-transfer-that/",0,301,"url",0,"","active"
"/Is the class preapproved for companies, courts or senior citizens?","https://www.esc.org/faqs/is-the-class-preapproved-for-companies-courts-or-senior-citizens/",0,301,"url",0,"","active"
"/Is the Colorado certification valid in other states?","https://www.esc.org/faqs/is-the-colorado-certification-valid-in-other-states/",0,301,"url",0,"","active"
"/Is the Washington State certification valid in other states?","https://www.esc.org/faqs/is-the-washington-state-certification-valid-in-other-states/",0,301,"url",0,"","active"
"/Is this course compatible with my iPhone, iPad, or other mobile devices?","https://www.esc.org/faqs/is-this-course-compatible-with-my-iphone-ipad-or-other-mobile-devices/",0,301,"url",0,"","active"
"/Is training and certification required?","https://www.esc.org/faqs/is-training-and-certification-required/",0,301,"url",0,"","active"
"/Is training available at a company’s facility?","https://www.esc.org/faqs/is-training-available-at-a-companys-facility/",0,301,"url",0,"","active"
"/Oregon TCS course policies & fine print","https://www.esc.org/faqs/or-tcs-course-policies/",0,301,"url",0,"","active"
"/The following community and technical colleges may offer open-enrollment flagger training.","https://www.esc.org/faqs/the-following-community-and-technical-colleges-may-offer-open-enrollment-flagger-training/",0,301,"url",0,"","active"
"/Washington TCS course policies & fine print","https://www.esc.org/faqs/wa-tcs-course-policies/",0,301,"url",0,"","active"
